CatalogueNumber,Institution,Long,Lat,Country,Region,Island,GeneralLocality,SpecificLocality,InitialSpeciesID,Sex,SVL,TL,ED,OD,HW,HD,HL,HdL,FbL,FtL,HbL,MidSR,VerSC,PoPV,UpPV,SL,IL,SlF3,SlT4,NS,FnsH,SnsH,FnsW,SnsW,CS
309406,KU,117.80737,8.86134,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Mainit - Mainit Falls,Bronchocela cristatella,m,83.81,cut,2.9,7.38,11.28,10.31,22.87,15.05,41.58,31.87,73.18,47,34,5,1,9,10,27,32,9,1,1,1,1.5,6
309400,KU,118.67606,9.82638,Philippines,Palawan,Palawan,Municipality of Puerto Princesa,Barangay Irawan - Irawan Watershed,Bronchocela cristatella,f,84.48,cut,2.88,7.24,12.39,10.59,23.16,14.11,41.48,29.39,68.85,52,32,4,1,10,9,25,31,9,1,1,1,1,6
326253,KU,117.80737,8.86134,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Mainit - Mainit Falls,Bronchocela cristatella,f,86.29,285,2.93,7.37,12.3,11.26,24.02,14.26,41.19,29.37,71.35,50,36,7,1,9,10,25,30,9,1.5,2,1.5,2,6
309109,KU,118.67606,9.82638,Philippines,Palawan,Palawan,Municipality of Puerto Princesa,Barangay Irawan - Irawan Watershed,Bronchocela cristatella,f,88.61,284,2.78,7.16,12.55,11.17,23.8,16.66,43.91,29.53,71.46,47,36,6,2,9,9,26,34,10,1,1,1.5,0.5,6
327279,KU,118.66894,9.79573,Philippines,Palawan,Palawan,Municipality of Puerto Princesa,Barangay Irawan - Bonton River,Bronchocela cristatella,m,90.05,318,2.74,7.09,13.69,12.23,24.29,16,45.53,34.04,80.36,50,33,6,2,9,10,26,31,9,1.5,1.5,1,1,6
79114,KU,119.19324,10.06949,Philippines,Palawan,Palawan,Municipality of Roxas,Barangay Tinitian,Bronchocela cristatella,m,90.42,305,2.7,7.38,12,12.63,24.52,16.32,45.02,32.39,76.94,43,37,6,2,9,8,23,28,9,1.5,0.5,1.5,0.5,6
309408,KU,117.72581,8.75502,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Samarinana and Salogon boundary,Bronchocela cristatella,f,90.82,309,2.96,7.05,12.89,11.52,24.97,15.13,43.29,32.91,77.32,46,38,6,1,9,10,23,29,10,1.5,1.5,1.5,1.5,6
309405,KU,117.80737,8.86134,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Mainit - Mainit Falls,Bronchocela cristatella,f,91.5,300,3.3,8.09,13.05,12.52,27.37,16.61,44.4,29.62,74.39,49,30,6,2,9,9,25,28,9,3,3,1,1,5
311396,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,m,92.5,340,2.73,8.03,15.16,12.51,26.76,15.62,45.56,32.42,77.59,49,35,6,2,9,10,29,33,10,1,1,1,1,5
311447,KU,118.6808,9.80384,Philippines,Palawan,Palawan,Municipality of Puerto Princesa,Barangay Irawan,Bronchocela cristatella,m,92.71,340,3.42,7.93,11.92,11.31,25.12,18.65,49.82,35.16,80.23,48,36,7,1,10,10,25,31,10,1,1,1.5,1.5,6
79119,KU,120.1927,12.0778,Philippines,Palawan,Busuanga,Municipality of Coron,Barangay San Nicolas,Bronchocela cristatella,m,93,315,3.13,7.21,13.7,11.4,26.09,17.81,48.75,34.53,81.72,47,37,5,1,9,8,23,31,11,1.5,1.5,1,1,6
309402,KU,118.67606,9.82638,Philippines,Palawan,Palawan,Municipality of Puerto Princesa,Barangay Irawan - Irawan Watershed,Bronchocela cristatella,m,94,cut,2.7,8.07,13.64,12.67,26.41,15.06,45.65,32.53,82.23,51,32,5,1,9,9,26,31,8,2,2,1.5,1.5,6
79118,KU,120.1927,12.0778,Philippines,Palawan,Busuanga,Municipality of Coron,Barangay San Nicolas,Bronchocela cristatella,f,94.28,301,3.05,6.95,12.91,12.22,24.91,13.03,41.83,28.52,72.27,44,36,5,1,10,10,25,28,10,0.5,0.5,1,0.5,6
311391,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,f,94.36,320,2.97,7.21,14.34,12.55,26.68,15.96,47.42,33.83,82.81,54,36,7,2,8,9,27,33,10,3,3,2,2,5
311394,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,m,94.52,315,2.93,7.81,14.04,12.51,27.14,15.88,46.38,34.05,83.66,57,34,7,2,10,9,26,32,10,1,1,2,1.5,5
309403,KU,118.67606,9.82638,Philippines,Palawan,Palawan,Municipality of Puerto Princesa,Barangay Irawan - Irawan Watershed,Bronchocela cristatella,m,95.94,315,3.68,8.19,16.15,13.24,28.9,16.63,50.27,34.71,81.31,52,33,7,2,9,8,26,30,9,3,3,1.5,1.5,6
311392,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,m,95.98,325,2.8,7.77,15.22,12.76,26.53,18.77,50.98,35.3,84.92,58,34,8,2,9,9,28,33,9,3,3,2,2,5
79120,KU,120.1927,12.0778,Philippines,Palawan,Busuanga,Municipality of Coron,Barangay San Nicolas,Bronchocela cristatella,m,96.88,335,2.93,7.23,13.2,11.6,25.38,17.59,48.24,33.69,80.87,49,42,7,1,9,9,27,33,9,1.5,0.5,1.5,1,6
311400,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt Magtangor peak/ Mt Matanaki peak,Bronchocela cristatella,f,96.91,330,2.98,7.91,15.22,12.12,27.04,18.1,49.3,35.12,85.17,49,33,8,2,9,10,26,32,10,1.5,1.5,1.5,1,5
311395,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,m,97.93,315,3.18,7.31,13.66,12.71,27.41,17.78,49.18,35.42,85.76,50,35,7,2,9,10,27,35,8,3,2,2,1.5,6
79117,KU,120.1927,12.0778,Philippines,Palawan,Busuanga,Municipality of Coron,Barangay San Nicolas,Bronchocela cristatella,m,99.26,cut,3.35,7.23,13.76,11.11,26.66,19.44,53.23,37.11,84.69,56,42,7,1,9,9,28,35,10,1.5,1.5,1.5,1,6
311390,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,f,99.35,320,3.38,8.09,16.4,13.25,28.37,16.41,47.1,33,78.76,53,32,7,2,9,8,26,31,9,2,2,1.5,2,6
311397,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,f,102.64,cut,3.62,8.12,17.05,13.67,30.66,17.96,49.24,36.86,87.94,55,32,7,2,10,11,29,34,8,1,2,2,2,5
79113,KU,119.19324,10.06949,Philippines,Palawan,Palawan,Municipality of Roxas,Barangay Tinitian,Bronchocela cristatella,m,103.02,354,3.5,8.37,14.3,13.76,28.47,18.63,52.24,33.77,88.34,48,36,6,2,10,9,25,29,9,2,2,2,2,6
79112,KU,119.19324,10.06949,Philippines,Palawan,Palawan,Municipality of Roxas,Barangay Tinitian,Bronchocela cristatella,m,103.6,365,3.43,7.88,14.44,12.35,28.2,18.38,51.31,36.13,92.8,47,36,5,2,9,9,25,30,11,3,3,2,2,6
311393,KU,117.6430556,8.813055556,Philippines,Palawan,Palawan,Municipality of Rizal,Mt. Bintangor,Bronchocela cristatella,m,104.35,350,3.56,8.37,16.34,13.56,28.99,18.12,50.06,36.26,86.03,59,35,7,2,8,8,29,36,10,2,2,2,2,6
79110,KU,117.75123,8.76833,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Amas - Sitio Macagua,Bronchocela cristatella,m,105.17,350,3.23,8.27,16.21,13.83,31.79,18.26,52.3,36.01,84,57,32,7,1,10,11,25,32,10,4,4,2,2,6
79116,KU,119.19519,10.05937,Philippines,Palawan,Palawan,Municipality of Roxas,Barangay Tinitian,Bronchocela cristatella,m,106.74,357,3,8.08,16.05,13.74,30.32,18.97,51.33,36.48,87.2,48,34,7,1,9,9,25,31,10,1.5,1.5,2,2,6
79115,KU,119.19519,10.05937,Philippines,Palawan,Palawan,Municipality of Roxas,Barangay Tinitian,Bronchocela cristatella,m,106.99,305,3.44,8.23,17.69,13.64,30.37,18.72,50.93,35.63,87.93,53,34,6,1,10,8,25,31,10,1.5,1.5,1.5,1.5,6
309407,KU,117.80737,8.86134,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Mainit - Mainit Falls,Bronchocela cristatella,m,109.35,365,3.6,8.77,15.38,13.2,30,18.71,49.58,33.64,87.5,50,36,5,2,9,9,29,35,8,3,3,3,2,5
327278,KU,117.712,8.7734,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Samarenana - Sitio Kamantian,Bronchocela cristatella,m,110.29,390,3.79,8.06,18.42,13.04,32.57,18.41,59.19,37.49,93.29,56,33,7,2,8,8,28,35,9,1,2,2,2,6
309409,KU,117.72581,8.75502,Philippines,Palawan,Palawan,Municipality of Brooke's Point,Barangay Samarinana and Salogon boundary,Bronchocela cristatella,m,111.87,360,3.57,8.46,17.43,13.7,30.37,18.67,56.35,31.43,90.87,51,34,6,2,8,8,24,28,8,2,2,2,2,5
306303,KU,120.8995833,12.81905556,Philippines,Mindoro,Mindoro,Municipality of Sablayan,Barangay Batong Buhay,Bronchocela sp.,f,74.93,248,2.08,5.55,9.8,9.4,20.29,14.35,39.11,28.13,65.5,43,34,7,1,9,10,30,37,12,1,1,0.5,0.5,6
