CatalogueNumber,Institution,Long,Lat,Country,Region,Island,GeneralLocality,SpecificLocality,InitialSpeciesID,Sex,SVL,TL,ED,OD,HW,HD,HL,HdL,FbL,FtL,HbL,MidSR,VerSC,PoPV,UpPV,SL,IL,SlF3,SlT4,NS,FnsH,SnsH,FnsW,SnsW,CS
4858,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,97.22,cut,2.36,7.66,14.01,11.78,27.15,19.6,50.71,36.08,85.44,55,43,7,1,11,11,27,34,9,3,3,1.5,1.5,6
4861,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,101.91,334,2.81,8.62,15.29,12.89,30.2,19.24,52.12,36.22,85.66,58,38,6,1,10,11,29,35,11,4,4,1,1.5,7
4859,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,102.53,cut,3.27,7.53,14.83,13.05,28.04,17.8,48.73,36.2,83.89,53,31,6,1,11,11,28,34,12,3,3,1.5,1.5,6
77138,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,f,75.87,274,2.29,6.84,9.75,8.89,18.87,15.12,40.93,29.91,68.46,53,44,4,1,9,11,29,34,12,0.5,0.5,0.5,0.5,6
77137,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,f,80.37,288,2.56,6.56,9.37,8.55,19.88,16.02,42.28,29.18,68.77,52,43,4,1,9,11,31,34,12,0.5,0.5,0.5,0.5,7
324431,KU,123.18777,10.67599,Philippines,West Visayas,Negros,City of Silay,"Barangay Patag, Mt. Bungol",Bronchocela cristatella,f,85.84,cut,2.18,6.8,11.47,10.03,22.53,19.12,47.53,33.08,75.08,46,34,5,1,9,8,27,34,9,1,1,0.5,0.5,6
599,PNM,,,Philippines,West Visayas,Panay,,,Bronchocela cristatella,f,88.17,272.62,2.54,8.11,12.68,10.61,24.12,18.52,46.72,30.11,79.27,48,41,4,1,9,10,29,36,11,1.5,1.5,1,1,6
77134,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,f,90,308,2.74,7.1,11.14,10.82,22.19,18.38,49.8,33.57,79.9,45,43,5,1,11,11,25,32,11,1,1,0.5,0.5,5
77136,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,f,91.04,341,2.89,7.84,11.98,11.42,23.6,19.4,51.89,33.32,77.74,46,43,4,1,10,10,26,36,12,1.5,1.5,1,1,6
77135,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,f,96.82,360,3.68,8.37,13.62,13.08,28.11,20.37,54.77,35.65,86.99,51,36,4,1,9,9,26,32,10,2,2,1.4,1.4,6
78107,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,f,97.87,330,3.04,7.84,11.81,10.92,23.89,19.4,50.66,34.53,83.7,44,36,4,1,9,9,26,31,10,1.5,1.5,1.2,1.2,7
600,PNM,,,Philippines,West Visayas,Panay,,,Bronchocela cristatella,f,98.1,306.71,3.33,7.01,13.16,13.29,27.69,18.57,51.04,36.05,86.77,50,37,6,1,9,9,29,36,8,1.5,1.6,1.2,1.2,5
78105,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,m,100.8,239(cut),3.77,8.6,13.86,12.42,27.19,20.58,54.12,36.37,89.66,48,42,4,1,10,9,26,33,11,2,2,1.5,1.2,7
78106,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,m,103.97,342,3.3,8.22,13.81,12.2,27.67,19.86,54.94,35.27,84.01,54,34,4,1,11,10,27,34,9,4,4,1.5,1.5,6
324432,KU,123.18777,10.67599,Philippines,West Visayas,Negros,City of Silay,"Barangay Patag, Mt. Bungol",Bronchocela cristatella,f,104.13,361,3.01,7.74,14.02,12.18,27.66,18.94,50.1,35.11,81.49,48,38,4,1,10,9,25,31,12,3,3,1.5,1.5,6
77133,USNM,122.548394,10.724181,Philippines,West Visayas,Panay,Iloilo,Iloilo City,Bronchocela marmorata,m,104.46,372,3.47,6.74,13.26,13.19,25.68,18.78,53.05,35.23,87.71,50,43,3,1,11,10,26,31,10,1.5,1.5,1.3,1.3,6
306862,KU,122.171,10.83,Philippines,West Visayas,Panay,Municipality of San Remigio,Barangay Aningalan,Bronchocela cristatella,m,106.07,302,3.02,8.63,14.18,12.43,28.7,19.85,52.81,36.57,87.09,50,38,4,1,11,12,24,31,9,3,3,1.5,1.5,6
155760,KU,,,Malaysia,Borneo,Borneo,Sarawak,,Bronchocela cristatella,f,71.89,247,1.9,6.77,10.16,8.76,19.29,14.74,40.16,27.35,68.5,75,34,6,1,10,9,22,27,9,0.5,0.5,1,1,6
246201,FMNH,117.833333,5.2,Malaysia,Borneo,Borneo,Sabah,"Lahad Datu, Danum Valley Field Center, East trail",Bronchocela cristatella,f,80.17,277,2.59,7.17,10.82,10.11,21.95,16.67,46.43,31.76,77.82,48,34,5,1,8,9,28,32,11,0.5,0.5,0.5,0.5,5
246200,FMNH,117.833333,5.2,Malaysia,Borneo,Borneo,Sabah,"Lahad Datu, Danum Valley Field Center, East trail",Bronchocela cristatella,m,83.55,284,2.24,6.6,12.65,10.77,20.85,14.8,39.73,33.27,75.52,60,36,6,1,11,10,26,32,11,1,1,1,1,5
76276,FMNH,117.55,5.283333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Kinabatangan, Deramakot Camp",Bronchocela cristatella,f,84.78,268,2.27,8.14,11.99,11.3,22.97,17.07,47.2,31.12,75.9,62,34,5,2,10,10,25,35,12,1.5,0.5,1,0.5,5
246199,FMNH,117.833333,5.2,Malaysia,Borneo,Borneo,Sabah,"Lahad Datu, Danum Valley Field Center, East trail",Bronchocela cristatella,f,87.07,290,2.34,7.04,11.39,9.36,22.26,16.65,44.19,31.95,77.71,57,35,7,1,9,9,27,33,11,1.2,1.2,1,1,5
217442,FMNH,117.8,4.966667,Malaysia,Borneo,Borneo,"Sabah, Tawau Residency",Ulu Segama,Bronchocela cristatella,m,90.37,300,3.08,8.37,13.54,12.42,24.71,17.65,48.78,31.63,75.07,41,31,4,1,11,11,28,29,11,3.3,3,1.5,1.5,4
51684,USNM,,,Malaysia,Borneo,Borneo,Tebonen,,Bronchocela cristatella,f,92.99,340,2.6,8.73,13.28,12.44,25.64,17.58,49.06,34.92,84.48,64,35,9,1,8,9,25,32,10,1,1,1,1,6
246202,FMNH,117.833333,5.2,Malaysia,Borneo,Borneo,Sabah,"Lahad Datu, Danum Valley Field Center, East trail",Bronchocela cristatella,m,93.4,310,3.06,8.32,12.8,11.21,24.39,19.12,49.22,34.8,82.15,59,37,8,1,10,11,31,34,11,1.5,1.5,1.5,1.5,6
63729,FMNH,118.589582,5.591648,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Kinabatangan, Big Kretam River, 8 miles from mouth",Bronchocela cristatella,f,94.03,313,2.98,7.95,12.53,12.3,25.14,19.04,52.14,36.26,84.69,61,38,7,1,10,10,27,33,10,1.5,1.5,1.5,1.5,6
130226,USNM,116.534,5.9835,Malaysia,Borneo,Borneo,Sabah,"Mount Kinabalu, Bundu Tuhan",Bronchocela cristatella,f,95.23,329,3.04,8,13.09,11.68,27.12,20.36,54.25,35.38,82.55,51,28,4,1,10,11,33,33,10,2.5,2.5,1.5,1.5,6
76279,FMNH,117.5,4.416667,Malaysia,Borneo,Borneo,"North Borneo, Tawau Residency","Kalabkan, Sungei Marikut",Bronchocela cristatella,f,98.32,326,3.61,8.51,14.41,12.94,27.68,16.95,53.68,39.28,94.23,64,32,7,2,10,9,25,29,12,1.5,1.5,1.5,2,5
63730,FMNH,118.566667,5.533333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Kinabatangan, SE end of Dewhurst Bay",Bronchocela cristatella,f,98.79,273 (cut),3.04,8.99,13.87,12.69,25.45,17.7,47.47,35.19,85.74,65,40,6,2,12,11,28,34,11,1.5,2,1.2,1.5,6
63733,FMNH,118.066667,5.583333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Sandakan, Sapagaya Forest Reserve",Bronchocela cristatella,f,98.91,340,3.14,8.37,14.63,12.73,27.36,19.81,53.54,37.03,89.31,61,34,6,1,11,11,27,33,13,1.5,1.5,1.5,1.5,6
63725,FMNH,118.566667,5.533333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Kinabatangan, SE end of Dewhurst Bay",Bronchocela cristatella,f,100.91,290,3.14,8.44,13.98,13.48,28.07,18.75,51.1,37.53,91.98,67,36,7,2,9,10,26,33,11,1.5,1.5,1.5,1.5,6
63731,FMNH,118.566667,5.533333,Malaysia,Borneo,Borneo,Kinabatangan,"Kinabatangan, SE end of Dewhurst Bay",Bronchocela cristatella,m,102.65,344,3.52,8.44,13.98,12.87,26.65,16.62,48.59,34.82,86.24,71,35,7,2,10,11,25,32,12,1.5,1.5,1.5,1.5,6
239337,FMNH,116.7,6.05,Malaysia,Borneo,Borneo,Sabah,"Ranau, Poring, Langanan",Bronchocela cristatella,m,103.65,320,3.17,8.62,14.79,12.56,26.27,18.36,51.34,33.62,84.49,57,36,6,2,9,10,28,33,12,2,2,1.2,1.2,6
217444,FMNH,118.072972,5.530189,Malaysia,Borneo,Borneo,"Sabah, Sandakan Residency",Gomantong,Bronchocela cristatella,m,103.9,343,3.79,9.37,14.79,14.73,29.72,19.77,53.57,36.97,90.48,65,30,6,2,8,9,26,32,9,3,3,3,3,6
63724,FMNH,118.566667,5.533333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","East Coast Residenct, SE end of Dewhurst Bay",Bronchocela cristatella,f,104.1,356,3.38,9.02,14.56,13.25,27.45,19.62,57.42,38.16,93.7,71,37,9,1,10,11,24,30,10,2.5,2.5,2,2,6
63735,FMNH,118.066667,5.583333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Sandakan, Sapagaya Forest Reserve",Bronchocela cristatella,f,104.53,371,3.71,9.5,15.47,14.14,28.75,19.82,52.94,35.62,89,61,34,7,2,12,11,26,27,9,2,2,1.5,1.5,5
51685,USNM,,,Indonesia,Borneo,Borneo,Taham,,Bronchocela cristatella,m,106.37,349,3.15,9.86,15.72,13.29,29.4,20.18,55.62,35.55,87.72,55,33,6,2,9,9,24,28,12,2.5,2.5,2.5,2.5,5
76280,FMNH,117.5,4.416667,Malaysia,Borneo,Borneo,"North Borneo, Tawau Residency","Kalabkan, Sungei Marikut",Bronchocela cristatella,m,106.94,355,3.95,9.52,15,13.73,28.46,19.08,55.74,38.26,93.28,70,32,8,1,11,12,27,33,10,2,2,2,2,5
63732,FMNH,118.066667,5.583333,Malaysia,Borneo,Borneo,"North Borneo, East Coast Residency","Sandakan, Sapagaya Forest Reserve",Bronchocela cristatella,f,108.03,368,3.14,8.82,14.11,13.03,28.57,20.26,55.05,39.78,95.42,63,37,5,2,11,10,28,31,13,1.5,1.5,1.5,1.5,6
18138,KU (RMB Field No.),114.2406,-8.1045,Indonesia,Java,Java,Bali,"Kecamatan licin, Desa Tamansari, Mt. Ijen",Bronchocela cristatella,f,95.76,332,2.22,7.7,14.43,11.57,25.43,15.95,47.01,33.33,80.07,48,51,5,1,9,11,25,31,10,1,1,1,1,6
18356,KU (RMB Field No.),109.26468,-7.28169,Indonesia,Java,Java,Serang,"Kecamatan Kutabawa, Desa Serang",Bronchocela cristatella,m,86.36,289,2.53,7.83,13.92,11.36,25.06,16,45.61,29.73,72.36,51,49,6,1,9,9,29,32,11,1.5,1,1,1,5
215799,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,70.2,cut,1.96,6.19,9.48,8.57,18.69,15.33,39.2,27.22,62.79,47,35,5,1,9,9,26,33,11,1,1,1,1,5
215798,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,72.79,cut,2.51,6.78,10.96,8.69,18.79,14.31,38.68,28.33,66.82,48,34,5,1,7,7,28,36,12,0.5,0.5,0.3,0.3,6
215797,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,72.82,cut,2.22,7.19,10.66,9.07,20.68,14.16,37.69,28.83,69.66,46,31,5,1,7,8,27,27,10,1.5,1.5,1,1,5
215790,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,f,73.7,cut,2.87,6.89,9.52,10.09,20.59,14.78,40.66,28.62,67.3,53,35,6,1,8,9,27,37,13,0.3,0.3,0.3,0.3,5
159947,USNM,128.321303,2.040172,Indonesia,Moluccas,Morotai,Morotai Island Regency,Wama-Pitoe area,Bronchocela cristatella,f,73.89,251,2.59,7.28,10.98,10.5,21.16,14.17,40.21,28.03,65.41,54,29,5,1,8,8,28,31,11,0.5,0.5,0.5,0.5,6
159942,USNM,128.321303,2.040172,Indonesia,Moluccas,Morotai,Morotai Island Regency,Wama-Pitoe area,Bronchocela cristatella,f,78.28,255,2.95,7.24,11.19,9.67,21.73,15.94,41.23,29.52,69.24,53,35,6,1,8,8,28,33,12,1,1,0.5,0.5,6
237434,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,f,78.54,275,2.96,7.15,12.24,9.99,24.5,14.9,40.97,28.53,66.2,55,34,6,1,8,10,27,35,15,1.2,1.2,1,1,6
237432,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,f,78.76,cut,2.86,7.2,11.38,9.7,22.26,13.74,38.87,26.92,65.34,47,35,5,1,7,8,26,33,11,1.5,1.5,0.5,0.5,6
159941,USNM,128.321303,2.040172,Indonesia,Moluccas,Morotai,Morotai Island Regency,Wama-Pitoe area,Bronchocela cristatella,f,78.98,180(cut),2.75,6.76,10.51,9.54,20.06,14.66,39.13,27.61,66.41,50,35,6,1,8,10,29,36,14,0.3,0.3,0.2,0.2,6
159945,USNM,128.321303,2.040172,Indonesia,Moluccas,Morotai,Morotai Island Regency,Wama-Pitoe area,Bronchocela cristatella,f,79.29,159(regen),2.47,7.29,10.59,9.73,21.7,15.46,40.49,28.02,66.42,50,28,6,1,9,9,24,32,12,1,1,0.5,0.5,6
42349,FMNH,,,Indonesia,Moluccas,Morotai,"Morotai, ID",,Bronchocela cristatella,f,79.49,266,2.6,6.66,10.16,10.06,21,15.2,43.14,28.01,68.74,57,34,6,2,8,10,29,35,14,1.5,1,0.5,0.3,6
215789,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,f,80.15,179(cut),2.59,7.57,10.94,11.01,21.82,13.6,37.61,25.67,62.76,46,37,6,1,8,11,27,35,0,0,0,0,0,6
215802,USNM,127.98,1.07,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Wasile, Wasile District",Bronchocela cristatella,f,80.54,270,3,7.44,12.25,10.41,23.53,13.9,39.26,27.52,67.17,48,35,6,1,9,11,26,33,11,3,2.5,0.5,0.5,5
215795,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,81.1,284,3,7.53,11.46,9.98,23.03,14.82,42.85,30.59,74.19,46,33,5,1,7,8,26,36,10,2,2,0.5,0.5,5
215793,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,81.67,280,3.07,7.01,12.11,11.11,24.05,15.48,39.01,30.16,71.98,47,29,4,2,8,9,27,34,11,2,2,0.5,0.5,6
215794,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,82.22,262,2.89,7.06,11.63,11.38,23.49,16.1,42.92,28.24,67.56,46,37,6,1,8,7,24,35,12,1.5,2,1,1,6
215796,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,82.71,247(cut tip),2.99,7.78,11.96,10.34,22.59,14.87,41.68,28.9,70.57,47,34,5,1,9,8,25,35,11,1,1,0.5,0.5,7
292208,USNM,127.98,1.07,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Wasile, Wasile District",Bronchocela cristatella,f,83.29,cut,3.16,7.05,11.95,11.75,23.4,13.79,38.58,28.92,75.29,51,35,6,1,9,9,27,35,11,2,2,1,1,7
237430,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,f,83.89,cut,2.97,7.47,11.98,10.45,22.69,15.86,43.8,28.79,71.51,50,34,6,1,8,10,25,35,10,1,1,0.5,0.5,6
42348,FMNH,,,Indonesia,Moluccas,Morotai,"Morotai, ID",,Bronchocela cristatella,m,84.8,286,3.35,7.65,12.11,10.88,24.72,14.52,40.66,29.61,73,51,35,7,1,9,10,28,33,13,1.5,0.5,1.5,0.5,6
237663,USNM,128.000666,1.726286,Indonesia,Moluccas,Halmahera,North Halmahera Regency,"Walaloi, Tobelo",Bronchocela cristatella,f,84.84,cut,3.21,7.93,11.97,10.9,24.73,16.57,46.47,33.68,77.95,50,39,6,1,8,9,26,36,17,1,1,0.5,0.5,6
215803,USNM,127.98549,1.38118,Indonesia,Moluccas,Halmahera,North Halmahera Regency,"Kampung Pediwang, Kao District",Bronchocela cristatella,m,85.2,276,2.88,7.34,12.31,12.64,23.41,14.18,39.53,,37.75,47,35,5,1,7,10,26,cut,15,1,1,0.5,0.5,5
159943,USNM,128.321303,2.040172,Indonesia,Moluccas,Morotai,Morotai Island Regency,Wama-Pitoe area,Bronchocela cristatella,f,85.21,280,2.88,7.32,11.89,10.27,24.19,14.32,40.25,29.54,71.59,55,34,6,1,9,10,27,33,14,1.5,1.5,0.5,0.5,6
237433,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,m,88.31,294,3.68,8.22,12.53,11.8,26.43,15.95,44.49,32.05,76.27,49,32,6,1,8,11,26,34,10,2,2,1,1,5
237431,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,f,88.98,175,3.49,7.75,11.72,10.26,24.2,14.96,39.36,30.01,71.46,57,34,6,1,8,9,26,33,13,0.5,0.5,0.5,0.5,6
215800,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,89.17,291,3.18,8.2,12.32,11.1,24.81,17.59,45.26,32.28,76.1,56,34,6,1,8,8,27,34,13,2,2,1.2,1.2,6
215792,USNM,127.937821,0.970542,Indonesia,Moluccas,Halmahera,East Halmahera Regency,"Kampung Loleba, Wasile District",Bronchocela cristatella,f,90.47,299,2.95,8.34,13.46,10.59,25.83,16.28,41.91,30.55,74.23,46,35,6,2,6,7,26,36,11,3,1,3,1,6
159946,USNM,128.321303,2.040172,Indonesia,Moluccas,Morotai,Morotai Island Regency,Wama-Pitoe area,Bronchocela cristatella,f,92.64,225(regen),3.01,7.74,11.71,10.67,24.29,14.96,41.88,30.06,73.31,53,28,6,1,9,9,27,34,11,1.5,1.5,1,1,6
237435,USNM,127.68,0.88,Indonesia,Moluccas,Halmahera,West Halmahera Regency,"Kampung Pasir Putih, Jailolo District",Bronchocela cristatella,m,94.92,cut,3.14,9.19,12.95,12.13,25.58,17.39,45.12,30.95,74.76,48,31,6,1,7,8,26,33,13,1.2,1.2,0.5,0.5,7
142968,AMNH,119.975189,-1.382515,Indonesia,Sulawesi,Sulawesi,Central Suluwesi,Sungai (river) Sidaunta: 3000 ft,Bronchocela cristatella (should be celebensis),f,111.4,371,3.05,9.99,18.25,16.47,33.67,20.22,56.33,38.18,91.95,50,37,5,1,11,10,27,33,10,5,5,2,2,5
